x=0.438845420485222, cl=6
x=0.273824039700297562234678997476498517, cl=6
x=0.4970708511204916789654242322134000676, cl=6
x=0.42826812173362196463528282932351033607, cl=6
x=0.035316130936725852626590829918419667737, cl=6
x=0.50412853029680084605507162387328752798, cl=6
x=0.5075334185109371543998894156977483394, cl=6
x=0.33799620632785945738144488339328970449, cl=6
x=0.43608742365999358871616487945317567498, cl=6
x=0.4274544473210752468832310362521310327, cl=6
x=0.23774335655597544224123576217938546966, cl=6
x=0.23744833769299714338724477348826110902, cl=6
x=0.54220297430983678580428836381472543396, cl=6
x=0.49330083389117565832310962321491154184, cl=6
x=0.43208884227249475851755139491101426514, cl=6
x=0.013384234054690219509797134602966657774, cl=6
x=0.23334058853283596270064934937954066616, cl=6
x=0.45197586752929988965273547306059878561, cl=6
x=0.20000371518847209477191424033758644183, cl=6
x=0.45742364848308666350043801875459627132, cl=6
x=0.23448784314233611792811321751902312005, cl=6
